"Gene_name" "P_values" "Adjusted_value" "is_significant"
"12785" "IGFBP2" 1.547723e-10 8.39545354146342e-10 TRUE
"13070" "KCNE4" 1.547723e-10 8.39545354146342e-10 TRUE
"13370" "CASC10" 1.547723e-10 8.39545354146342e-10 TRUE
"14204" "ABCC5" 1.547723e-10 8.39545354146342e-10 TRUE
"14991" "CA4" 1.547723e-10 8.39545354146342e-10 TRUE
"15965" "PCDH12" 1.547723e-10 8.39545354146342e-10 TRUE
"7564" "PTGER3" 1.556942e-10 8.43722955165692e-10 TRUE
"11685" "UNC13D" 1.556942e-10 8.43722955165692e-10 TRUE
"13898" "MT-ATP8" 1.556942e-10 8.43722955165692e-10 TRUE
"905" "RRM2" 1.610894e-10 8.6732446481601e-10 TRUE
"5048" "MIR3654" 1.610894e-10 8.6732446481601e-10 TRUE
"6894" "DTNB" 1.610894e-10 8.6732446481601e-10 TRUE
"7012" "ALOX5" 1.610894e-10 8.6732446481601e-10 TRUE
"7235" "ANXA3" 1.610894e-10 8.6732446481601e-10 TRUE
"7306" "VAPB" 1.610737e-10 8.6732446481601e-10 TRUE
"7482" "SLC25A26" 1.610894e-10 8.6732446481601e-10 TRUE
"8044" "PARP8" 1.610894e-10 8.6732446481601e-10 TRUE
"8778" "ANKZF1" 1.610737e-10 8.6732446481601e-10 TRUE
"9682" "PADI2" 1.610894e-10 8.6732446481601e-10 TRUE
"12465" "CENPP" 1.610737e-10 8.6732446481601e-10 TRUE
"12947" "PLXNA2" 1.610894e-10 8.6732446481601e-10 TRUE
"13230" "HDAC3" 1.610894e-10 8.6732446481601e-10 TRUE
"13372" "TPD52" 1.610894e-10 8.6732446481601e-10 TRUE
"14486" "EFCAB1" 1.610894e-10 8.6732446481601e-10 TRUE
"15335" "CECR6" 1.610894e-10 8.6732446481601e-10 TRUE
"15375" "SCAP" 1.610894e-10 8.6732446481601e-10 TRUE
"16435" "EVC" 1.610894e-10 8.6732446481601e-10 TRUE
"16646" "MAP3K12" 1.610894e-10 8.6732446481601e-10 TRUE
"16658" "NARS" 1.610894e-10 8.6732446481601e-10 TRUE
"2653" "ZNF493" 1.621926e-10 8.72419402773299e-10 TRUE
"15643" "FRY" 1.621926e-10 8.72419402773299e-10 TRUE
"16168" "CLASP2" 1.62176e-10 8.72419402773299e-10 TRUE
"118" "LMO7" 1.676583e-10 8.97765792616372e-10 TRUE
"1209" "NFIA" 1.676583e-10 8.97765792616372e-10 TRUE
"1273" "ITPRIPL1" 1.676583e-10 8.97765792616372e-10 TRUE
"2888" "CAPN13" 1.676583e-10 8.97765792616372e-10 TRUE
"3908" "SRM" 1.676419e-10 8.97765792616372e-10 TRUE
"5580" "LRRC57" 1.676583e-10 8.97765792616372e-10 TRUE
"8689" "UBA3" 1.676583e-10 8.97765792616372e-10 TRUE
"9561" "PARP10" 1.676583e-10 8.97765792616372e-10 TRUE
"9662" "ARPC5" 1.676583e-10 8.97765792616372e-10 TRUE
"9693" "ZAP70" 1.676583e-10 8.97765792616372e-10 TRUE
"14215" "UBTD1" 1.676583e-10 8.97765792616372e-10 TRUE
"15626" "ABT1" 1.676419e-10 8.97765792616372e-10 TRUE
"16150" "MORN2" 1.676583e-10 8.97765792616372e-10 TRUE
"16193" "CTAGE9" 1.676583e-10 8.97765792616372e-10 TRUE
"12349" "KIAA2018" 1.679801e-10 8.99200278562259e-10 TRUE
"1983" "GPR150" 1.689558e-10 9.032637e-10 TRUE
"11651" "SLCO2B1" 1.689558e-10 9.032637e-10 TRUE
"13345" "ZNF526" 1.689558e-10 9.032637e-10 TRUE
"13902" "STXBP4" 1.689558e-10 9.032637e-10 TRUE
"3756" "SCYL2" 1.710234e-10 9.13439100864553e-10 TRUE
"7627" "XPO7" 1.710068e-10 9.13439100864553e-10 TRUE
"13305" "DDN" 1.710234e-10 9.13439100864553e-10 TRUE
"448" "VPS37B" 1.744886e-10 9.23372413705584e-10 TRUE
"1546" "FBXO34" 1.744886e-10 9.23372413705584e-10 TRUE
"2630" "TOX2" 1.744886e-10 9.23372413705584e-10 TRUE
"5254" "FSTL3" 1.744886e-10 9.23372413705584e-10 TRUE
"5715" "RPS15" 1.744886e-10 9.23372413705584e-10 TRUE
"6004" "HPSE2" 1.744886e-10 9.23372413705584e-10 TRUE
"7501" "NARF" 1.744886e-10 9.23372413705584e-10 TRUE
"7548" "TROAP" 1.744886e-10 9.23372413705584e-10 TRUE
"8963" "ANO7" 1.744716e-10 9.23372413705584e-10 TRUE
"9057" "SERPINA4" 1.744716e-10 9.23372413705584e-10 TRUE
"9715" "WDR90" 1.744886e-10 9.23372413705584e-10 TRUE
"9752" "ACAT1" 1.744886e-10 9.23372413705584e-10 TRUE
"9787" "PTS" 1.744886e-10 9.23372413705584e-10 TRUE
"9904" "EIF1AD" 1.744886e-10 9.23372413705584e-10 TRUE
"9910" "PPP1R3B" 1.744886e-10 9.23372413705584e-10 TRUE
"10768" "ACKR2" 1.744886e-10 9.23372413705584e-10 TRUE
"10805" "PRDM5" 1.744886e-10 9.23372413705584e-10 TRUE
"11156" "PRKRIP1" 1.744546e-10 9.23372413705584e-10 TRUE
"11800" "PIK3CD" 1.744886e-10 9.23372413705584e-10 TRUE
"12393" "C1orf115" 1.744716e-10 9.23372413705584e-10 TRUE
"12508" "DIEXF" 1.744886e-10 9.23372413705584e-10 TRUE
"13121" "ABCA8" 1.744886e-10 9.23372413705584e-10 TRUE
"13261" "SLC12A7" 1.744886e-10 9.23372413705584e-10 TRUE
"13497" "BAI3" 1.744886e-10 9.23372413705584e-10 TRUE
"13741" "VPS13D" 1.744716e-10 9.23372413705584e-10 TRUE
"13973" "RPL41" 1.744886e-10 9.23372413705584e-10 TRUE
"14859" "IL1RL1" 1.744886e-10 9.23372413705584e-10 TRUE
"14898" "LAT" 1.744886e-10 9.23372413705584e-10 TRUE
"15563" "DCUN1D2" 1.744886e-10 9.23372413705584e-10 TRUE
"6315" "C6orf203" 1.759943e-10 9.30749817374762e-10 TRUE
"13120" "NCAPH2" 1.759943e-10 9.30749817374762e-10 TRUE
"1680" "TOP2A" 1.779876e-10 9.40993080190174e-10 TRUE
"8454" "DNASE1L1" 1.79602e-10 9.49227300380228e-10 TRUE
"17" "RNFT1" 1.815905e-10 9.53993555905512e-10 TRUE
"1907" "NR6A1" 1.815905e-10 9.53993555905512e-10 TRUE
"2460" "GLT8D1" 1.815905e-10 9.53993555905512e-10 TRUE
"4487" "CCDC126" 1.815905e-10 9.53993555905512e-10 TRUE
"5507" "HDAC10" 1.815905e-10 9.53993555905512e-10 TRUE
"6329" "METTL22" 1.815905e-10 9.53993555905512e-10 TRUE
"7401" "CHTF18" 1.815905e-10 9.53993555905512e-10 TRUE
"8521" "LYSMD2" 1.815905e-10 9.53993555905512e-10 TRUE
"8675" "RIPPLY3" 1.8152e-10 9.53993555905512e-10 TRUE
"9007" "OIP5" 1.815905e-10 9.53993555905512e-10 TRUE
"10137" "CNTN3" 1.815905e-10 9.53993555905512e-10 TRUE
"10693" "DTHD1" 1.815905e-10 9.53993555905512e-10 TRUE
"10992" "TMEM33" 1.815729e-10 9.53993555905512e-10 TRUE
"11183" "SUV39H1" 1.815729e-10 9.53993555905512e-10 TRUE
"12333" "TMEM56" 1.815905e-10 9.53993555905512e-10 TRUE
"13277" "UCN" 1.815552e-10 9.53993555905512e-10 TRUE
"13684" "NGRN" 1.815905e-10 9.53993555905512e-10 TRUE
"14578" "MEF2C" 1.815905e-10 9.53993555905512e-10 TRUE
"15791" "HCAR1" 1.815905e-10 9.53993555905512e-10 TRUE
"9766" "CRYL1" 1.83319e-10 9.62165173064821e-10 TRUE
"10058" "ALAS1" 1.83319e-10 9.62165173064821e-10 TRUE
"16023" "RP11-302B13.5" 1.83319e-10 9.62165173064821e-10 TRUE
"7634" "C9orf152" 1.852107e-10 9.71788133375275e-10 TRUE
"136" "CARD9" 1.889746e-10 9.84414843222986e-10 TRUE
"3457" "VAT1L" 1.889746e-10 9.84414843222986e-10 TRUE
"3617" "WNT7A" 1.889379e-10 9.84414843222986e-10 TRUE
"4256" "HMHA1" 1.889746e-10 9.84414843222986e-10 TRUE
"5577" "PCED1B" 1.889746e-10 9.84414843222986e-10 TRUE
"6599" "CTD-2260A17.2" 1.889563e-10 9.84414843222986e-10 TRUE
"6757" "COL21A1" 1.889746e-10 9.84414843222986e-10 TRUE
"7516" "DPEP1" 1.889746e-10 9.84414843222986e-10 TRUE
"8012" "AMICA1" 1.889746e-10 9.84414843222986e-10 TRUE
"8730" "CXCL12" 1.889746e-10 9.84414843222986e-10 TRUE
"8985" "LAG3" 1.889746e-10 9.84414843222986e-10 TRUE
"9234" "LTA" 1.889746e-10 9.84414843222986e-10 TRUE
"9560" "ENDOG" 1.889746e-10 9.84414843222986e-10 TRUE
"10316" "GPS1" 1.889746e-10 9.84414843222986e-10 TRUE
"10840" "BCAS2" 1.889379e-10 9.84414843222986e-10 TRUE
"11476" "FANCA" 1.889746e-10 9.84414843222986e-10 TRUE
"12129" "SP110" 1.889746e-10 9.84414843222986e-10 TRUE
"12908" "C1orf216" 1.889746e-10 9.84414843222986e-10 TRUE
"13367" "RGN" 1.889746e-10 9.84414843222986e-10 TRUE
"14772" "ZNF454" 1.889563e-10 9.84414843222986e-10 TRUE
"15753" "LDHC" 1.889746e-10 9.84414843222986e-10 TRUE
"16041" "ENAM" 1.889746e-10 9.84414843222986e-10 TRUE
"16296" "POLDIP2" 1.889746e-10 9.84414843222986e-10 TRUE
"9469" "SMARCAL1" 1.903676e-10 9.91361713393693e-10 TRUE
"2427" "KIAA1467" 1.909413e-10 9.93418865876481e-10 TRUE
"2652" "ZNF709" 1.909413e-10 9.93418865876481e-10 TRUE
"9497" "SBNO2" 1.909413e-10 9.93418865876481e-10 TRUE
"14785" "NDUFA5" 1.927572e-10 1.00255381852198e-09 TRUE
"6404" "RBM46" 1.943514e-10 1.01053034663342e-09 TRUE
"15882" "LAIR2" 1.952115e-10 1.01468613898411e-09 TRUE
"776" "ICK" 1.966517e-10 1.01647051626898e-09 TRUE
"935" "SHC3" 1.966517e-10 1.01647051626898e-09 TRUE
"1361" "SOD2" 1.966517e-10 1.01647051626898e-09 TRUE
"3576" "S1PR4" 1.966517e-10 1.01647051626898e-09 TRUE
"4594" "NRM" 1.966517e-10 1.01647051626898e-09 TRUE
"4741" "NAGPA" 1.966517e-10 1.01647051626898e-09 TRUE
"6704" "DLG2" 1.966517e-10 1.01647051626898e-09 TRUE
"10065" "MXI1" 1.966517e-10 1.01647051626898e-09 TRUE
"11271" "LMF2" 1.966517e-10 1.01647051626898e-09 TRUE
"11504" "GDF9" 1.966517e-10 1.01647051626898e-09 TRUE
"11943" "KIF18A" 1.966327e-10 1.01647051626898e-09 TRUE
"12210" "PTPN22" 1.966517e-10 1.01647051626898e-09 TRUE
"13712" "CD163" 1.966517e-10 1.01647051626898e-09 TRUE
"14241" "GLB1L" 1.966517e-10 1.01647051626898e-09 TRUE
"15199" "KCTD3" 1.966517e-10 1.01647051626898e-09 TRUE
"15235" "CLSPN" 1.966517e-10 1.01647051626898e-09 TRUE
"15256" "ATRN" 1.966517e-10 1.01647051626898e-09 TRUE
"16615" "APOBR" 1.966517e-10 1.01647051626898e-09 TRUE
"179" "RPL6" 1.984587e-10 1.02517532239083e-09 TRUE
"15174" "SNX19" 1.984587e-10 1.02517532239083e-09 TRUE
"6756" "C2orf69" 1.988529e-10 1.02667903806871e-09 TRUE
"10140" "PRKCZ" 1.988729e-10 1.02667903806871e-09 TRUE
"976" "ADSSL1" 2.046333e-10 1.04830572604423e-09 TRUE
"2318" "NREP" 2.046333e-10 1.04830572604423e-09 TRUE
"2338" "C11orf63" 2.046333e-10 1.04830572604423e-09 TRUE
"2513" "AVEN" 2.046333e-10 1.04830572604423e-09 TRUE
"3180" "TBC1D5" 2.046333e-10 1.04830572604423e-09 TRUE
"3578" "MROH8" 2.046333e-10 1.04830572604423e-09 TRUE
"3737" "AKAP9" 2.046333e-10 1.04830572604423e-09 TRUE
"5355" "SLC43A3" 2.046333e-10 1.04830572604423e-09 TRUE
"6502" "KLRC1" 2.046136e-10 1.04830572604423e-09 TRUE
"6779" "SH2D2A" 2.046333e-10 1.04830572604423e-09 TRUE
"7349" "HSD17B4" 2.046333e-10 1.04830572604423e-09 TRUE
"7510" "APLP2" 2.046333e-10 1.04830572604423e-09 TRUE
"7617" "OPTN" 2.046333e-10 1.04830572604423e-09 TRUE
"8516" "STARD5" 2.046333e-10 1.04830572604423e-09 TRUE
"8784" "C19orf33" 2.046333e-10 1.04830572604423e-09 TRUE
"9067" "KLRK1" 2.046333e-10 1.04830572604423e-09 TRUE
"9152" "TXNDC15" 2.046136e-10 1.04830572604423e-09 TRUE
"9524" "TENM1" 2.046333e-10 1.04830572604423e-09 TRUE
"10014" "CDH5" 2.046333e-10 1.04830572604423e-09 TRUE
"12506" "MMEL1" 2.046333e-10 1.04830572604423e-09 TRUE
"13452" "SH3BGRL3" 2.046333e-10 1.04830572604423e-09 TRUE
"14946" "SDR42E1" 2.046333e-10 1.04830572604423e-09 TRUE
"15464" "HMGCS1" 2.046333e-10 1.04830572604423e-09 TRUE
"15721" "MARCKS" 2.046333e-10 1.04830572604423e-09 TRUE
"15794" "BEX4" 2.046333e-10 1.04830572604423e-09 TRUE
"10739" "ARL17B" 2.068635e-10 1.05940533619896e-09 TRUE
"1821" "CXCL16" 2.071261e-10 1.05977403312883e-09 TRUE
"13009" "SLC12A4" 2.071261e-10 1.05977403312883e-09 TRUE
"15471" "MNAT1" 2.071261e-10 1.05977403312883e-09 TRUE
"3247" "SYDE2" 2.11356e-10 1.08108496780129e-09 TRUE
"441" "SLC36A1" 2.129311e-10 1.08118439817352e-09 TRUE
"2412" "DOK4" 2.129311e-10 1.08118439817352e-09 TRUE
"2456" "ANKRD45" 2.129311e-10 1.08118439817352e-09 TRUE
"4914" "KCNJ9" 2.1289e-10 1.08118439817352e-09 TRUE
"5046" "GSAP" 2.129311e-10 1.08118439817352e-09 TRUE
"6076" "RAD51AP1" 2.129311e-10 1.08118439817352e-09 TRUE
"6413" "MYOF" 2.129311e-10 1.08118439817352e-09 TRUE
"7859" "EML2" 2.129311e-10 1.08118439817352e-09 TRUE
"7895" "FAM84B" 2.129311e-10 1.08118439817352e-09 TRUE
"8339" "ATP5J" 2.129311e-10 1.08118439817352e-09 TRUE
"9170" "SPPL2A" 2.129311e-10 1.08118439817352e-09 TRUE
"9410" "DHX30" 2.129311e-10 1.08118439817352e-09 TRUE
"10449" "PER2" 2.129311e-10 1.08118439817352e-09 TRUE
"11243" "C9orf37" 2.129311e-10 1.08118439817352e-09 TRUE
"12419" "PKMYT1" 2.129311e-10 1.08118439817352e-09 TRUE
"13225" "GK5" 2.129311e-10 1.08118439817352e-09 TRUE
"13289" "TMEM176A" 2.129311e-10 1.08118439817352e-09 TRUE
"14013" "AXL" 2.129311e-10 1.08118439817352e-09 TRUE
"15126" "SLC41A3" 2.129311e-10 1.08118439817352e-09 TRUE
"15817" "ARHGAP11A" 2.129105e-10 1.08118439817352e-09 TRUE
"15906" "NR1D2" 2.129105e-10 1.08118439817352e-09 TRUE
"16132" "PHF7" 2.129311e-10 1.08118439817352e-09 TRUE
"16478" "ZP3" 2.129311e-10 1.08118439817352e-09 TRUE
"16511" "STK3" 2.129105e-10 1.08118439817352e-09 TRUE
"13387" "SLC2A11" 2.157136e-10 1.09497956421181e-09 TRUE
"11607" "TLR6" 2.171605e-10 1.10198878612717e-09 TRUE
"567" "CDKN3" 2.215572e-10 1.11919263961236e-09 TRUE
"980" "ATP5B" 2.215359e-10 1.11919263961236e-09 TRUE
"2621" "CTDSPL" 2.215572e-10 1.11919263961236e-09 TRUE
"2998" "LRRC8C" 2.215572e-10 1.11919263961236e-09 TRUE
"5725" "MEIG1" 2.215146e-10 1.11919263961236e-09 TRUE
"5783" "PCYOX1" 2.215572e-10 1.11919263961236e-09 TRUE
"6825" "LANCL3" 2.215146e-10 1.11919263961236e-09 TRUE
"9201" "TPR" 2.215572e-10 1.11919263961236e-09 TRUE
"11605" "SVOPL" 2.215572e-10 1.11919263961236e-09 TRUE
"12527" "CMTM3" 2.215572e-10 1.11919263961236e-09 TRUE
"12528" "PDGFRA" 2.215572e-10 1.11919263961236e-09 TRUE
"13042" "MAP1S" 2.215572e-10 1.11919263961236e-09 TRUE
"13333" "TRIP11" 2.215572e-10 1.11919263961236e-09 TRUE
"14254" "SYNE1" 2.215572e-10 1.11919263961236e-09 TRUE
"15113" "KCNMA1" 2.215572e-10 1.11919263961236e-09 TRUE
"6980" "ERLIN2" 2.246485e-10 1.13377820877458e-09 TRUE
"11186" "EXD2" 2.246485e-10 1.13377820877458e-09 TRUE
"13170" "CYB561D2" 2.246485e-10 1.13377820877458e-09 TRUE
"1502" "FKBP15" 2.305244e-10 1.15887492224231e-09 TRUE
"3326" "BCL7A" 2.305244e-10 1.15887492224231e-09 TRUE
"4791" "TOMM20L" 2.305022e-10 1.15887492224231e-09 TRUE
"7271" "FAM193B" 2.305244e-10 1.15887492224231e-09 TRUE
"7997" "SUCNR1" 2.305244e-10 1.15887492224231e-09 TRUE
"8845" "RNF152" 2.305244e-10 1.15887492224231e-09 TRUE
"9322" "VWA1" 2.305244e-10 1.15887492224231e-09 TRUE
"11610" "S100A10" 2.305244e-10 1.15887492224231e-09 TRUE
"12035" "IL2RA" 2.305022e-10 1.15887492224231e-09 TRUE
"12262" "SHISA4" 2.305244e-10 1.15887492224231e-09 TRUE
"15164" "FCGR2B" 2.305244e-10 1.15887492224231e-09 TRUE
"15736" "ZDHHC21" 2.305244e-10 1.15887492224231e-09 TRUE
"16039" "ZNF844" 2.305244e-10 1.15887492224231e-09 TRUE
"841" "MRGBP" 2.339446e-10 1.17429910562745e-09 TRUE
"3654" "SCP2" 2.339446e-10 1.17429910562745e-09 TRUE
"10935" "AP3S2" 2.339211e-10 1.17429910562745e-09 TRUE
"13081" "SLC35A3" 2.339446e-10 1.17429910562745e-09 TRUE
"15371" "PPP3CB" 2.339211e-10 1.17429910562745e-09 TRUE
"10942" "FAM216A" 2.34293e-10 1.17569411552347e-09 TRUE
"1343" "H2AFY2" 2.398457e-10 1.19350425894988e-09 TRUE
"1657" "DPY19L1" 2.398457e-10 1.19350425894988e-09 TRUE
"1886" "BCMO1" 2.398457e-10 1.19350425894988e-09 TRUE
"2628" "TBC1D1" 2.398457e-10 1.19350425894988e-09 TRUE
"3005" "TMEM176B" 2.398457e-10 1.19350425894988e-09 TRUE
"4024" "C19orf82" 2.398457e-10 1.19350425894988e-09 TRUE
"4135" "APOOL" 2.398457e-10 1.19350425894988e-09 TRUE
"4330" "CPNE6" 2.391474e-10 1.19350425894988e-09 TRUE
"4764" "ANO1" 2.398457e-10 1.19350425894988e-09 TRUE
"5079" "STK4" 2.398457e-10 1.19350425894988e-09 TRUE
"5935" "BCL6B" 2.398457e-10 1.19350425894988e-09 TRUE
"8211" "VWCE" 2.398457e-10 1.19350425894988e-09 TRUE
"8723" "UBASH3A" 2.398457e-10 1.19350425894988e-09 TRUE
"9005" "ADTRP" 2.398457e-10 1.19350425894988e-09 TRUE
"9115" "ST6GALNAC2" 2.398457e-10 1.19350425894988e-09 TRUE
"9246" "HSPG2" 2.398457e-10 1.19350425894988e-09 TRUE
"9343" "SLC39A3" 2.398457e-10 1.19350425894988e-09 TRUE
"10436" "LRRC66" 2.398227e-10 1.19350425894988e-09 TRUE
"10554" "BYSL" 2.398457e-10 1.19350425894988e-09 TRUE
"11588" "NDUFAF3" 2.398227e-10 1.19350425894988e-09 TRUE
"11847" "ISM2" 2.398457e-10 1.19350425894988e-09 TRUE
"12648" "SOX15" 2.398227e-10 1.19350425894988e-09 TRUE
"12734" "EEF2" 2.398457e-10 1.19350425894988e-09 TRUE
"13044" "SLC17A7" 2.398227e-10 1.19350425894988e-09 TRUE
"13563" "TIFAB" 2.398227e-10 1.19350425894988e-09 TRUE
"13892" "SLC35G2" 2.398457e-10 1.19350425894988e-09 TRUE
"15952" "SLC39A4" 2.398457e-10 1.19350425894988e-09 TRUE
"16301" "CLRN3" 2.398457e-10 1.19350425894988e-09 TRUE
"11226" "TRPM6" 2.4462e-10 1.21689877721443e-09 TRUE
"230" "PGAP3" 2.495348e-10 1.23435363701068e-09 TRUE
"399" "TPRG1L" 2.495348e-10 1.23435363701068e-09 TRUE
"616" "ECSCR" 2.495348e-10 1.23435363701068e-09 TRUE
"1523" "AIM2" 2.495348e-10 1.23435363701068e-09 TRUE
"2345" "RORB" 2.49511e-10 1.23435363701068e-09 TRUE
"2358" "SBK1" 2.495348e-10 1.23435363701068e-09 TRUE
"4207" "ADCK4" 2.495348e-10 1.23435363701068e-09 TRUE
"6369" "NT5C2" 2.49511e-10 1.23435363701068e-09 TRUE
"6781" "SNRPB" 2.495348e-10 1.23435363701068e-09 TRUE
"7551" "ATP6AP2" 2.495348e-10 1.23435363701068e-09 TRUE
"8221" "CA11" 2.495348e-10 1.23435363701068e-09 TRUE
"8563" "EMR2" 2.49511e-10 1.23435363701068e-09 TRUE
"8622" "TMEM243" 2.495348e-10 1.23435363701068e-09 TRUE
"9970" "DERL1" 2.495348e-10 1.23435363701068e-09 TRUE
"10099" "ZNF676" 2.495348e-10 1.23435363701068e-09 TRUE
"10307" "ZNF483" 2.495348e-10 1.23435363701068e-09 TRUE
"14293" "ACOT2" 2.495348e-10 1.23435363701068e-09 TRUE
"15020" "DCAF17" 2.495348e-10 1.23435363701068e-09 TRUE
"15276" "TNNI2" 2.495348e-10 1.23435363701068e-09 TRUE
"12055" "PIGK" 2.518948e-10 1.24565824607175e-09 TRUE
"2523" "SGCB" 2.536777e-10 1.25187693372781e-09 TRUE
"3305" "KRT81" 2.536777e-10 1.25187693372781e-09 TRUE
"4778" "MEF2BNB" 2.536777e-10 1.25187693372781e-09 TRUE
"8345" "ATP2B4" 2.536777e-10 1.25187693372781e-09 TRUE
"8556" "PAPD7" 2.536777e-10 1.25187693372781e-09 TRUE
"12831" "IP6K1" 2.536777e-10 1.25187693372781e-09 TRUE
"12977" "SMARCD3" 2.536777e-10 1.25187693372781e-09 TRUE
"5687" "BOD1" 2.545471e-10 1.25579580834073e-09 TRUE
"3133" "ALX1" 2.596059e-10 1.27547169720177e-09 TRUE
"3836" "PDE1B" 2.596059e-10 1.27547169720177e-09 TRUE
"5249" "NPHS1" 2.596059e-10 1.27547169720177e-09 TRUE
"5581" "TTR" 2.596059e-10 1.27547169720177e-09 TRUE
"7155" "PKNOX2" 2.595811e-10 1.27547169720177e-09 TRUE
"7498" "C1orf56" 2.596059e-10 1.27547169720177e-09 TRUE
"8576" "CD248" 2.596059e-10 1.27547169720177e-09 TRUE
"9478" "SMOX" 2.596059e-10 1.27547169720177e-09 TRUE
"10387" "REC8" 2.596059e-10 1.27547169720177e-09 TRUE
"11500" "ADAMTSL2" 2.596059e-10 1.27547169720177e-09 TRUE
"12185" "PBK" 2.596059e-10 1.27547169720177e-09 TRUE
"12722" "PROS1" 2.596059e-10 1.27547169720177e-09 TRUE
"13118" "SQSTM1" 2.596059e-10 1.27547169720177e-09 TRUE
"15035" "TMIGD2" 2.596059e-10 1.27547169720177e-09 TRUE
"2805" "NUTM2D" 2.641447e-10 1.29662554326074e-09 TRUE
"5967" "C15orf65" 2.640921e-10 1.29662554326074e-09 TRUE
"6752" "KIAA1429" 2.641447e-10 1.29662554326074e-09 TRUE
"1353" "DLX3" 2.647387e-10 1.29915902206531e-09 TRUE
"784" "BDH2" 2.700736e-10 1.32067653122252e-09 TRUE
"889" "PPP1R35" 2.700736e-10 1.32067653122252e-09 TRUE
"3555" "CMIP" 2.700736e-10 1.32067653122252e-09 TRUE
"5066" "ZNF853" 2.700736e-10 1.32067653122252e-09 TRUE
"5240" "SETD2" 2.700736e-10 1.32067653122252e-09 TRUE
"5823" "ADSS" 2.700736e-10 1.32067653122252e-09 TRUE
"5849" "NANP" 2.700736e-10 1.32067653122252e-09 TRUE
"6248" "MARCH3" 2.700736e-10 1.32067653122252e-09 TRUE
"7567" "MAMDC2" 2.700736e-10 1.32067653122252e-09 TRUE
"9054" "FANCL" 2.700736e-10 1.32067653122252e-09 TRUE
"9438" "MT-ND3" 2.700736e-10 1.32067653122252e-09 TRUE
"11871" "RRP1" 2.700736e-10 1.32067653122252e-09 TRUE
"2149" "CXorf21" 2.750332e-10 1.34296070725995e-09 TRUE
"11522" "STPG1" 2.750332e-10 1.34296070725995e-09 TRUE
"12777" "LZIC" 2.750332e-10 1.34296070725995e-09 TRUE
"13478" "GMDS" 2.750332e-10 1.34296070725995e-09 TRUE
"16251" "ZNF518B" 2.750332e-10 1.34296070725995e-09 TRUE
"975" "DUSP4" 2.80953e-10 1.36467560861969e-09 TRUE
"988" "VSIG4" 2.80953e-10 1.36467560861969e-09 TRUE
"3139" "KAT2B" 2.80953e-10 1.36467560861969e-09 TRUE
"3589" "FXYD3" 2.80953e-10 1.36467560861969e-09 TRUE
"5078" "IGSF22" 2.80953e-10 1.36467560861969e-09 TRUE
"6437" "FUT2" 2.80953e-10 1.36467560861969e-09 TRUE
"6637" "LRP10" 2.80953e-10 1.36467560861969e-09 TRUE
"7841" "ZNF540" 2.80953e-10 1.36467560861969e-09 TRUE
"8290" "TNIP3" 2.80953e-10 1.36467560861969e-09 TRUE
"12038" "PREX2" 2.80953e-10 1.36467560861969e-09 TRUE
"12319" "CKB" 2.80953e-10 1.36467560861969e-09 TRUE
"13002" "LCN12" 2.80953e-10 1.36467560861969e-09 TRUE
"13699" "C1orf127" 2.809263e-10 1.36467560861969e-09 TRUE
"14064" "SLC25A30" 2.80953e-10 1.36467560861969e-09 TRUE
"14791" "AP000350.4" 2.80953e-10 1.36467560861969e-09 TRUE
"14850" "HP1BP3" 2.80953e-10 1.36467560861969e-09 TRUE
"14852" "LY96" 2.80953e-10 1.36467560861969e-09 TRUE
"16166" "MIB1" 2.80953e-10 1.36467560861969e-09 TRUE
"2811" "PTCH1" 2.863596e-10 1.38890884394072e-09 TRUE
"5123" "POLD2" 2.865249e-10 1.38890884394072e-09 TRUE
"6054" "SH2D1B" 2.865249e-10 1.38890884394072e-09 TRUE
"7293" "CCDC142" 2.863596e-10 1.38890884394072e-09 TRUE
"11576" "POLR1D" 2.863596e-10 1.38890884394072e-09 TRUE
"14210" "ATXN7L3B" 2.863596e-10 1.38890884394072e-09 TRUE
"16100" "RECQL5" 2.863311e-10 1.38890884394072e-09 TRUE
"789" "LRP1" 2.922601e-10 1.4097450746096e-09 TRUE
"1924" "PLEKHM2" 2.922046e-10 1.4097450746096e-09 TRUE
"2045" "PRPF40B" 2.922601e-10 1.4097450746096e-09 TRUE
"8410" "NCAM2" 2.922601e-10 1.4097450746096e-09 TRUE
"8588" "PCP4L1" 2.922601e-10 1.4097450746096e-09 TRUE
"8599" "SUSD1" 2.922601e-10 1.4097450746096e-09 TRUE
"8721" "SDSL" 2.922601e-10 1.4097450746096e-09 TRUE
"9446" "CDK5R1" 2.922601e-10 1.4097450746096e-09 TRUE
"9624" "CRYBG3" 2.922601e-10 1.4097450746096e-09 TRUE
"10323" "AC117395.1" 2.922601e-10 1.4097450746096e-09 TRUE
"10763" "C11orf24" 2.922601e-10 1.4097450746096e-09 TRUE
"11597" "TREX1" 2.922601e-10 1.4097450746096e-09 TRUE
"11786" "TMPPE" 2.922601e-10 1.4097450746096e-09 TRUE
"13318" "PRELID1" 2.922601e-10 1.4097450746096e-09 TRUE
"15603" "LILRA3" 2.922601e-10 1.4097450746096e-09 TRUE
"16057" "RAD54L" 2.922601e-10 1.4097450746096e-09 TRUE
"16327" "MLF1" 2.922601e-10 1.4097450746096e-09 TRUE
"295" "POP7" 2.981114e-10 1.43645057192374e-09 TRUE
